Index Category Description
143 "Personal Development" "Blueprint helps you have hope for the goodness of the human race by revealing our biologically wired social tendencies that help us survive and thrive by working together."
449 Business "Everything Is Obvious shows you that common sense isn't as reliable as you think it is, because it often fails us in helping to make predictions, and how you can change the way you or your company make decisions with more scientific, statistically grounded methods."
357 Business "Common Stocks and Uncommon Profits paves the way to success for all investors by outlining how to analyse stocks, understand the market, make smart investments and wise money decisions, and profit from them by being patient with the stock market and keeping your money in for the long-term."
226 "Personal Development" " A Beginner’s Guide To The End is your guide to using the principles of stillness, cleaning, and grief to prepare for your own or a loved one’s death."
317 Technology "Dataclysm gives powerful motivation for being more honest online by using information collected from the internet to identify what all of us are really like under the veil of anonymity and how we as a society have changed recently."
367 History "A Walk In The Woods tells the interesting story of the adventures Bill Bryson and Stephen Katz had while walking the beautiful, rugged, and historic Appalachian Trail."
268 "Personal Development" "Against Empathy explains the problems with society’s obsession with empathy and explores its limitations while giving us useful alternatives for situations in which it Doesn't work."
79 Business "Unlocking Potential is a guide that will help you as a leader make a difference in people’s lives in the long run by learning how to coach people in a way that brings to light their greatest strengths and capabilities."
108 "Personal Development" "Behave sets out to explain the reason behind human behavior, good or bad, by exploring the influences of brain chemistry and our environment."
390 Other " A Tale of Two Cities tells the stories of two connected families in 18th-century London and Paris, exploring everything from love and loss to murder and family intrigue, thus teaching us about history, ethics, and the complexity of human relationships."
400 "Physical Health" "Feel Great Lose Weight goes beyond fad diets and quick fixes for weight problems and instead dives into the science of how your body really works when you put food into it and how you can use this information to be fitter and feel better."
458 "Physical Health" "Why Zebras Don't Get Ulcers explores the leading causes of stress and how to keep it under control, as well as the biological science behind stress, which can be a catalyst for performance in the short term, but a potential threat in the long run."
140 "Personal Development" "Words That Work outlines the importance of using the right words and the appropriate body language in a given situation to make yourself understood properly and get the most out of the dialogue, while also teaching you some tips-and-tricks on how to win arguments, tame conflicts, and get your point across using a wise selection of words."
109 "Personal Development" "Discourses is a transcription of Epictetus’s lectures which aim to address a series of life ethics and tales that can help us make sense of certain things happening to us, such as hardship, challenges, and life events that ultimately lead to a stronger character."
255 Business "The Year Without Pants dives into the company culture of Automattic, the company behind Wordpress.com and explains how they’ve created a culture of work where employees thrive, creativity flows freely and new ideas are implemented on a daily basis."
456 "Personal Development" "What Are You Doing With Your Life? turns traditional ideas about happiness and the purpose of life on its head by diving into the details of life’s most important questions, all so you can live with intention and joy more constantly."
481 Business "Tribal Leadership explains the various roles people take on in organizations, showing you how to navigate, connect, and lead change across the five different stages of your company’s “tribal society.”"
5 "Personal Development" "Winners Dream will inspire you to get up and get moving to make your biggest goals happen by sharing the incredible rags to riches story of Bill McDermott, who went from humble beginnings to CEO of the biggest software company in the world simply by having a vision of what he wanted in life."
235 History "The Tao of Physics questions many biases about Western science and Eastern spirituality, showing the close connections between the principles of physics and those of Buddhism, Hinduism, and Taoism."
327 "Personal Development" "The Year of Magical Thinking talks about the process of grief, loss, and how trauma can affect a healthy mind and soul by leaving it empty of joy, all by delving into the life of Joan Didion who learned to overcome these feelings after her husband died and her daughter fell ill."
129 Business "The Wealthy Gardener is a series of stories told from the perspective of an old, wealthy man, who shares the financial wisdom he’s acquired over many years with the members in his community, showing them how to build wealth step-by-step through short yet meaningful anecdotes."
135 Business "Theory U helps leaders act based on the future, not the past, and allows them to create organizational change at a global level through creative and agile methodologies."
196 "Personal Development" "Daring Greatly is a book about having the courage to be vulnerable in a world where everyone wants to appear strong, confident and like they know what they're doing."
352 History "The Truth sees Neil Strauss draw lessons about monogamy, love and relationships learned from depression, sex addiction treatment, swinger parties and science labs, in the decade after becoming one of the world’s most notorious pick-up artists and desired single men on the planet."
362 "Personal Development" "Change By Design makes you a better problem solver at every aspect of life by outlining the design thinking process that companies can use to innovate and improve."
365 "Personal Development" "Thrive shines a light on the missing ingredient in our perception of success, which includes well-being, wonder, wisdom and giving, and goes beyond just money and power, which often drive people right into burnout, terrible health and unhappiness."
187 "Physical Health" "Fast Food Nation describes how the fast food industry has reduced the overall food quality worldwide, created poor working conditions for millions of people and ruined public health."
231 Business "Content, Inc. describes a six-step model you can use to do your marketing long before you need it, without even having a product, or spending a lot of money, so your entrepreneurial venture will be a guaranteed success."
286 "Personal Development" "Tiny Habits shows you the power of applying small changes to your routine to unleash the full power that habits have to make your life better."
119 "Personal Development" "Eat That Frog provides 21 techniques and strategies to stop procrastinating and get more done."
335 "Personal Development" "The Why Café is a book about how to find your purpose and live the life you have imagined, based on a fictional encounter in a simple yet magical cafe."
482 "Personal Development" "The Worry-Free Mind helps free you of the shackles of all types of anxieties by identifying where they come from and what steps you need to take to regain control of your thinking patterns and become mentally healthy again."
21 "Personal Development" "You'll See It When You Believe It shows you how to discover your true, best self by revealing how to use the power of your mind to find peace with yourself, the people around you, and the universe."
13 Business "Designing Your Work Life is a helpful guidebook for anyone who wants to create and maintain a work environment that is both happy and productive by working with what they already have, rather than keep on changing jobs in hope of finding better."
148 Business "Business Adventures will teach you how to run a company, invest in the stock market, change jobs, and many other things by sharing some of the most interesting experiences that big companies and their leaders have had over the last century."
107 "Personal Development" "Counterclockwise is a critical look at current perspectives on health with a particular focus on how we can improve our own when we shift from being mindless to mindful."
3 "Personal Development" "Be Where Your Feet Are explores the enlightening life lessons that one of America’s top-tier sports personalities has to give, from being present in the moment and living in a meaningful way, to achieving a more fulfilling and successful life."
460 History "A Woman of No Importance tells the fascinating and exciting story of Virginia Hall, an American who became one of the best spies for the Allies in World War II and helped significantly in the defeat of Nazi Germany."
290 Business "Charlie Munger teaches you the investment approach and ideas about life from Warren Buffett’s business partner and billionaire Charlie Munger, which the two have used for decades to run one of the most successful companies in the world."
171 Business "To Sell Is Human shows you that selling is part of your life, no matter what you do, and what a successful salesperson looks like in the 21st century, with practical ideas to help you convince others in a more honest, natural and sustainable way."
359 Other "A Brief History Of Time is Stephen Hawking’s way of explaining the most complex concepts and ideas of physics, such as space, time, black holes, planets, stars and gravity to the average Joe, so that even you and I can better understand how our planet was created, where it came from, and where it’s going."
499 Technology "Abundance shows you the key technological trends being developed today, to give you a glimpse of a future that’s a lot brighter than you think and help you embrace the optimism we need to make it happen."
345 "Personal Development" "Dopamine Nation talks about the importance of living a balanced life in relation to all the pleasure and stimuli we're surrounded with on a daily basis, such as drugs, devices, porn, gambling facilities, showing us how to avoid becoming dopamine addicts by restricting our access to them. "
450 History "A Promised Land is former president Barack Obama’s memoir in which he explains how he got into politics, what it was like for him to be president of the United States from 2009 to 2017, and how he felt during some of his biggest achievements, like passing the Affordable Care Act."
422 "Physical Health" "Eat, Move, Sleep shows you that living a long and healthy life is not the result of massive lifestyle changes, but of lots of small habits, which improve the way you sleep, eat and exercise and, if combined, add a whole lot to your health."
252 "Personal Development" "Waking Up is a guide to mindfulness, spirituality, meditation, and understanding religion, analyzing these topics from a neutral point of view to create a bridge between atheists and believers, all while explaining a series of core aspects regarding spirituality and how the mind works."
32 "Physical Health" "What to Eat When teaches us how food works inside our body and how to feed ourselves in a way that better suits our biology, making us healthier and stronger."
325 "Personal Development" "Be Fearless shows that radical changes are more effective than small enhancements and urges us to be bold in trying to make progress."
60 "Physical Health" "Fat For Fuel explores the “Mitochondrial Metabolic Therapy” program, which offers a revolutionary approach to diets by promoting a high-fat, adequate-protein, and low-carb diet, all while highlighting the importance of fasting and the role of nutrition in fighting diseases."
92 Business "The Wisdom Of Finance is a fascinating book that identifies the differences and similarities between the world of money and life experiences like relationships, showing how principles from each of these can benefit each other."
308 Business "Disney U outlines the principles that create the customer-centric philosophy of Disney and contribute to the company’s massive success, while also highlighting some aspects of their organizational culture, such as caring for their staff and providing high-quality training."
348 "Personal Development" "Do Nothing explores the idea that our focus on being productive all the time is making us less effective because of how little rest we get, identifying how the consequences of overworking ourselves, and the benefits of taking time off, make a compelling argument that we should spend more time doing nothing."
76 Business "Agile Selling helps you become a great salesperson by identifying how successful people thrive in any sales position with the skills of learning and adapting quickly."
65 Business "Think Like A Rocket Scientist teaches you how to think like an engineer in your everyday life so that you can accomplish your personal and professional goals and reach your full potential."
222 Business "Work The System will fundamentally change the way you view the world, by showing you the systems all around you and giving you the guiding principles to influence the right ones to make your business successful."
219 Business "Chaos Monkeys is a fun behind-the-scenes look that lifts the veil on some of the weird, mysterious and sometimes questionable practices going on behind closed doors of mega startups in Silicon Valley."
142 "Personal Development" "Boundaries explains, with the help of modern psychology and Christian ideals, how to improve your mental health and personal growth by establishing guidelines for self-care that include saying no more often and standing firm in your decisions rather than letting people walk all over you."
457 Technology "AI Superpowers will help you understand what to expect of the effect that artificial intelligence will have on your future job opportunities by diving into where China and the US, the world’s two leaders in AI, are heading with this breakthrough technology."
256 "Personal Development" "Winners: And How They Succeed draws on years of research and extensive interviews with a wide array of successful people to deliver a blueprint for what it takes to win in life based on strategy, leadership and team-building."
443 "Personal Development" "Why Are We Yelling? will improve your relationships, professional life, and the way you view the world by showing you that arguments are not bad, but important growing experiences if we learn to make them productive."
278 "Physical Health" "Eat Better, Feel Better is a go-to guide for combating modern dietary problems and adopting a healthier lifestyle."
420 Business "The Total Money Makeover shows you how to stop accepting debt as normal, eliminate it forever in small increments, and build the financial future you deserve in seven steps."
399 "Personal Development" "The Talent Code cracks open the myth of talent and breaks it down from a neurological standpoint into three crucial parts, which anyone can pull together to become a world-class performer, artist, or athlete and form something they used to believe was not even within their own hands."
116 History "A History Of The World In 6 Glasses will give you some great conversation starters at your next party by teaching you the origins and impact of the worlds six favorite drinks, including beer, wine, alcoholic spirits, tea, coffee, and soda."
46 "Personal Development" "Better Than Before breaks down the latest research on how to break bad habits and develop good ones, in order to help you find your habit tendency and give you a few simple tools to start improving your own habits."
80 "Personal Development" "Change Your Questions, Change Your Life will revolutionize your thinking with questions that create a learning mindset."
165 "Personal Development" "Everything Is Figureoutable will help you annihilate the limiting beliefs that are holding you back so that you can finally pursue your dreams by identifying the thinking patterns that get you stuck and how to use self-empowerment principles to become free."
274 Other "A New Earth outlines a crazy and destructive place we call home, but not without showing us that we can all save it together, by looking into our minds and detaching ourselves from our ego, so we can practice acceptance and enjoyment."
113 "Personal Development" "Anxiety at Work outlines the importance of having a harmonious working environment due to the constant increase in people’s stress levels from their professional lives, and how managers, direct supervisors, CEOs, and other executive bodies can help reduce it by fostering a healthy environment."
287 Other "Empty Planet explains why overpopulation alarmists are wrong and how depopulation poses the more imminent threat to the happiness of humanity."
16 Business "Design To Grow uses Coca-Cola as an example of how keeping a company stable and flexible at the same time over decades is not only possible, but a must to grow and scale your business across the globe."
273 History "A Vindication Of The Rights Of Woman will help you make the world a more fair place by teaching some of the gender inequalities of the eighteenth century."
104 Technology "Brave New World presents a futuristic society engineered perfectly around capitalism and scientific efficiency, in which everyone is happy, conform, and content — but only at first glance."
161 History "Will is world-famous actor and musician Will Smith’s autobiography, outlining his life’s story all the way from his humble beginnings in West Philadelphia to achieving fame as a musician and then global stardom as an actor and, ultimately, one of the most influential people of our time."
40 "Personal Development" "The Universe Has Your Back explores the importance of spiritual elevation, meditation, and ways to live by a mantra that serves you in your self-discovery journey that will shape your reality through new and improved thoughts and inner beliefs."
